brand,title,url,rating,totalReviews,price,image
Samsung,"Samsung Galaxy S6 (Verizon) Certified Pre-Owned Prepaid Carrier Locked, White",https://www.amazon.com/Samsung-Verizon-Certified-Pre-Owned-Prepaid/dp/B01J63ODA4,2.5,3,133.65,prod_imgs/B01J63ODA4.jpg
Apple,"Apple iPhone 6S Plus, 16GB, Silver - For AT&T / T-Mobile (Renewed)",https://www.amazon.com/Apple-iPhone-6s-Plus-16GB/dp/B01JAWWVXW,4.1,195,198.9,prod_imgs/B01JAWWVXW.jpg
Motorola,Motorola DROID Turbo XT1254 32GB Verizon Black Ballistic Nylon (Renewed),https://www.amazon.com/Motorola-XT1254-Verizon-Ballistic-Renewed/dp/B01K5R3GXK,3.2,77,59.99,prod_imgs/B01K5R3GXK.jpg
Samsung,Samsung Convoy 4 B690 Rugged Water-Resistant Verizon Flip Phone w/ 5MP Camera - Blue,https://www.amazon.com/Samsung-B690-convoy-4-verizon-wireless/dp/B01L9D7J00,3.3,115,73.5,prod_imgs/B01L9D7J00.jpg
Sony,"Sony Xperia XZ F8332 64GB Forest Blue, 5.2"", Dual Sim, GSM Unlocked International Model, No Warranty",https://www.amazon.com/Sony-F8332-Unlocked-International-Warranty/dp/B01LXF0WML,3.9,255,269.99,prod_imgs/B01LXF0WML.jpg
Google,Google Pixel XL Phone 32GB - 5.5 inch display ( Factory Unlocked US Version ) (Very Silver),https://www.amazon.com/Google-Pixel-XL-Phone-32GB/dp/B01LY3OB8D,3.9,455,185.0,prod_imgs/B01LY3OB8D.jpg
Apple,"Apple iPhone 6S, 32GB, Silver - For AT&T / T-Mobile (Renewed)",https://www.amazon.com/Apple-iPhone-6S-Unlocked-32GB/dp/B01LYHIUQ7,4.1,46,152.95,prod_imgs/B01LYHIUQ7.jpg
Samsung,Samsung Galaxy S6 Edge Plus SM-G928T 32GB for T-Mobile (Renewed),https://www.amazon.com/Samsung-SM-G928T-T-Mobile-Certified-Refurbished/dp/B01LZXT34U,4.0,12,198.99,prod_imgs/B01LZXT34U.jpg
Google,"Google Pixel Phone - 5 inch display (Factory Unlocked US Version) (32GB, Quite Black)",https://www.amazon.com/Google-Pixel-Phone-display-Unlocked/dp/B01M01YX15,3.5,302,219.99,prod_imgs/B01M01YX15.jpg
Google,"Google Pixel XL G2PW210032GBBK Factory Unlocked Smartphone, 32GB, 5.5-Inch Display - U.S. Version (Quite Black)",https://www.amazon.com/Google-G2PW210032GBBK-Unlocked-Smartphone-5-5-Inch/dp/B01M0PADR4,3.4,429,201.48,prod_imgs/B01M0PADR4.jpg
Google,Google Pixel XL Phone 32GB - 5.5 inch display (Factory Unlocked US Version) (Really Blue),https://www.amazon.com/Google-Pixel-XL-Phone-32GB/dp/B01M1CT4PT,3.8,20,289.97,prod_imgs/B01M1CT4PT.jpg
Sony,Sony Xperia XZ F8331 32GB Unlocked GSM 4G LTE Phone w/ 23MP Camera - Mineral Black,https://www.amazon.com/Sony-Xperia-XZ-Unlocked-Smartphone/dp/B01M1HY1E3,3.6,249,259.99,prod_imgs/B01M1HY1E3.jpg
Samsung,Samsung Galaxy Note 5 SM-N920V 32GB White Smartphone for Verizon (Renewed),https://www.amazon.com/Samsung-SM-N920V-Smartphone-Verizon-Renewed/dp/B01M59QP6C,3.2,289,169.95,prod_imgs/B01M59QP6C.jpg
Motorola,"Motorola MOTO Z PLAY (XT1635) Factory Unlocked Phone - 5.5"" Screen - 32GB - Black (International Version - No Warranty)",https://www.amazon.com/Motorola-XT1635-Factory-Unlocked-Phone/dp/B01MDMJGYT,4.1,161,169.0,prod_imgs/B01MDMJGYT.jpg
Samsung,Samsung Galaxy S7 G930P 32GB Gold - Sprint (Renewed),https://www.amazon.com/Samsung-Galaxy-G930P-32GB-Gold/dp/B01MSC0FK8,3.5,140,174.95,prod_imgs/B01MSC0FK8.jpg
Samsung,Samsung Galaxy Note 5 N920T 32GB - White (T-Mobile),https://www.amazon.com/Samsung-Galaxy-Note-N920T-32GB/dp/B01MY2FEAS,3.7,14,366.73,prod_imgs/B01MY2FEAS.jpg
Samsung,"Samsung Galaxy S6, G920P White Pearl 32GB - Sprint (Renewed)",https://www.amazon.com/Samsung-Galaxy-G920P-White-Pearl/dp/B01MZG55UE,3.1,124,134.99,prod_imgs/B01MZG55UE.jpg
Motorola,Motorola Droid MAXX 2 XT1565 16GB Blue - Verizon Unlocked (Renewed),https://www.amazon.com/Motorola-Droid-MAXX-XT1565-16GB/dp/B01N064CH1,3.3,27,129.99,prod_imgs/B01N064CH1.jpg
Motorola,"Motorola XT1601 Moto G4 Play DUAL SIM Black+Lava Cover 2GB/16GB (International Version) , GSM ONLY",https://www.amazon.com/Motorola-XT1601-Black-International-Version/dp/B01N0O2MFZ,3.5,7,141.99,prod_imgs/B01N0O2MFZ.jpg
Samsung,Samsung J3 - Verizon Prepaid,https://www.amazon.com/Samsung-SM-J320VLPP-J3-Verizon-Prepaid/dp/B01N1Q6V7K,3.6,41,105.0,prod_imgs/B01N1Q6V7K.jpg
Google,"Google Pixel XL (128GB, 4GB RAM) 5.5"" AMOLED HD Display, Global 4G LTE, US Factory Unlocked Model (GSM, Verizon, Sprint) - Very Silver",https://www.amazon.com/Google-Display-Factory-Unlocked-Verizon/dp/B01N2HPFWK,3.9,87,329.99,prod_imgs/B01N2HPFWK.jpg
